========================================
  Benchmark istogramma OpenMP
  Fri May 29 15:15:10 CEST 2026
========================================

--- v1: main.c  [bin][tid] ---
=== main.c: layout [bin][tid] ===
len           threads  T.tot         T.par         T.red         speedup     efficiency
10000000      1        0.006963      0.006963      0.000000      1.000     x  1.0000
10000000      2        0.034705      0.034704      0.000001      0.201     x  0.1003
10000000      4        0.058552      0.058551      0.000000      0.119     x  0.0297
10000000      8        0.072396      0.072396      0.000000      0.096     x  0.0120
10000000      16       0.064960      0.064960      0.000000      0.107     x  0.0067
10000000      32       0.032470      0.032469      0.000000      0.214     x  0.0067
10000000      64       0.016726      0.016725      0.000000      0.416     x  0.0065
10000000      128      0.015579      0.015579      0.000000      0.447     x  0.0035
10000000      256      0.018378      0.018378      0.000000      0.379     x  0.0015
10000000      512      0.035230      0.035229      0.000000      0.198     x  0.0004
10000000      1024     0.058143      0.058143      0.000000      0.120     x  0.0001
10000000      2048     0.093282      0.093281      0.000000      0.075     x  0.0000
10000000      4096     0.094535      0.094534      0.000000      0.074     x  0.0000

50000000      1        0.026549      0.026549      0.000000      1.000     x  1.0000
50000000      2        0.142887      0.142887      0.000000      0.186     x  0.0929
50000000      4        0.260087      0.260087      0.000001      0.102     x  0.0255
50000000      8        0.342095      0.342095      0.000000      0.078     x  0.0097
50000000      16       0.269355      0.269355      0.000001      0.099     x  0.0062
50000000      32       0.153167      0.153167      0.000000      0.173     x  0.0054
50000000      64       0.045955      0.045955      0.000000      0.578     x  0.0090
50000000      128      0.047136      0.047136      0.000000      0.563     x  0.0044
50000000      256      0.038722      0.038722      0.000000      0.686     x  0.0027
50000000      512      0.048730      0.048730      0.000000      0.545     x  0.0011
50000000      1024     0.048205      0.048204      0.000000      0.551     x  0.0005
50000000      2048     0.033427      0.033427      0.000000      0.794     x  0.0004
50000000      4096     0.075499      0.075499      0.000000      0.352     x  0.0001

100000000     1        0.059958      0.059957      0.000001      1.000     x  1.0000
100000000     2        0.456974      0.456973      0.000001      0.131     x  0.0656
100000000     4        0.611366      0.611365      0.000000      0.098     x  0.0245
100000000     8        0.674263      0.674262      0.000000      0.089     x  0.0111
100000000     16       0.583850      0.583850      0.000000      0.103     x  0.0064
100000000     32       0.245662      0.245662      0.000000      0.244     x  0.0076
100000000     64       0.100220      0.100220      0.000000      0.598     x  0.0093
100000000     128      0.051684      0.051684      0.000000      1.160     x  0.0091
100000000     256      0.042182      0.042181      0.000000      1.421     x  0.0056
100000000     512      0.051178      0.051178      0.000000      1.172     x  0.0023
100000000     1024     0.048574      0.048573      0.000000      1.234     x  0.0012
100000000     2048     0.059356      0.059355      0.000000      1.010     x  0.0005
100000000     4096     0.106416      0.106416      0.000000      0.563     x  0.0001

500000000     1        0.307313      0.307313      0.000000      1.000     x  1.0000
500000000     2        2.306386      2.306386      0.000000      0.133     x  0.0666
500000000     4        3.076326      3.076326      0.000000      0.100     x  0.0250
